items,support,ordered_statistics,length
"frozenset({'인', '인증'})",0.0013280053598774884,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'인', '인증'}), confidence=0.0013280053598774884, lift=1.0), OrderedStatistic(items_base=frozenset({'인'}), items_add=frozenset({'인증'}), confidence=0.14050632911392402, lift=1.6043826520024898), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'인'}), confidence=0.015163934426229507, lift=1.60438265200249)]",2
"frozenset({'인증', '저'})",0.0013256125574272587,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'인증', '저'}), confidence=0.0013256125574272587, lift=1.0), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'저'}), confidence=0.015136612021857922, lift=0.7707923597142516), OrderedStatistic(items_base=frozenset({'저'}), items_add=frozenset({'인증'}), confidence=0.06750335079809917, lift=0.7707923597142515)]",2
"frozenset({'이번', '주'})",0.0012753637059724349,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'이번', '주'}), confidence=0.0012753637059724349, lift=1.0), OrderedStatistic(items_base=frozenset({'이번'}), items_add=frozenset({'주'}), confidence=0.19653392330383482, lift=94.73524478332024), OrderedStatistic(items_base=frozenset({'주'}), items_add=frozenset({'이번'}), confidence=0.6147635524798155, lift=94.73524478332024)]",2
"frozenset({'장', '완료'})",0.0012753637059724349,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'장', '완료'}), confidence=0.0012753637059724349, lift=1.0), OrderedStatistic(items_base=frozenset({'완료'}), items_add=frozenset({'장'}), confidence=0.062302746931618934, lift=8.826292880563454), OrderedStatistic(items_base=frozenset({'장'}), items_add=frozenset({'완료'}), confidence=0.18067796610169493, lift=8.826292880563454)]",2
"frozenset({'구매', '명'})",0.0012681852986217458,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '명'}), confidence=0.0012681852986217458, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'명'}), confidence=0.011678124449145073, lift=1.904222305808314), OrderedStatistic(items_base=frozenset({'명'}), items_add=frozenset({'구매'}), confidence=0.20678891923527118, lift=1.904222305808314)]",2
"frozenset({'오늘', '혜택'})",0.0012633996937212863,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'오늘', '혜택'}), confidence=0.0012633996937212863, lift=1.0), OrderedStatistic(items_base=frozenset({'오늘'}), items_add=frozenset({'혜택'}), confidence=0.12494084240416468, lift=5.195549936074478), OrderedStatistic(items_base=frozenset({'혜택'}), items_add=frozenset({'오늘'}), confidence=0.05253731343283582, lift=5.195549936074478)]",2
"frozenset({'용', '구매'})",0.0012442572741194486,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'용', '구매'}), confidence=0.0012442572741194486, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'용'}), confidence=0.011457782478406486, lift=1.1461073368539108), OrderedStatistic(items_base=frozenset({'용'}), items_add=frozenset({'구매'}), confidence=0.12446146481570129, lift=1.1461073368539108)]",2
"frozenset({'비', '가성'})",0.0012322932618683002,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'비', '가성'}), confidence=0.0012322932618683002, lift=1.0), OrderedStatistic(items_base=frozenset({'가성'}), items_add=frozenset({'비'}), confidence=0.9229390681003584, lift=352.5728476604221), OrderedStatistic(items_base=frozenset({'비'}), items_add=frozenset({'가성'}), confidence=0.4707495429616088, lift=352.57284766042216)]",2
"frozenset({'대박', '혜택'})",0.0012227220520673813,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'대박', '혜택'}), confidence=0.0012227220520673813, lift=1.0), OrderedStatistic(items_base=frozenset({'대박'}), items_add=frozenset({'혜택'}), confidence=0.038797357831599724, lift=1.613352416416135), OrderedStatistic(items_base=frozenset({'혜택'}), items_add=frozenset({'대박'}), confidence=0.05084577114427861, lift=1.613352416416135)]",2
"frozenset({'하나요', '구매'})",0.0012059724349157734,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'하나요', '구매'}), confidence=0.0012059724349157734, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'하나요'}), confidence=0.011105235325224748, lift=1.9443233963627677), OrderedStatistic(items_base=frozenset({'하나요'}), items_add=frozenset({'구매'}), confidence=0.21114369501466274, lift=1.9443233963627675)]",2
